codigo;produto;familia;contextos;proteina_padrao;setor_default;revisar_setor
5679;HAND ⁠ROLL- PEIXE BRANCO;Sushi / Japonês;Rodízio;Peixe branco para sushi;SUSHI_BAR;SIM
5680;HAND ⁠ROLL- SALMAO;Sushi / Japonês;Rodízio | Sushi / Japonês;Salmão inteiro fresco;SUSHI_BAR;SIM
5664;HARUMAKI  -JP RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
5549;HARUMAKI CHOC BRANCO -LJDN;Sushi / Japonês;Rodízio | Sushi / Japonês;;KITCHEN;NÃO
5550;HARUMAKI CHOC PRETO-LJDN;Sushi / Japonês;Rodízio | Sushi / Japonês;;KITCHEN;NÃO
5404;HARUMAKI DE CAMARÃO -PO;Sushi / Japonês;Rodízio | Sushi / Japonês;Camarão 31/40;KITCHEN;NÃO
5403;HARUMAKI DE FRANGO -PO;Sushi / Japonês;Rodízio | Sushi / Japonês;;KITCHEN;NÃO
5402;HARUMAKI DE LEGUMES -PO;Sushi / Japonês;Rodízio | Sushi / Japonês;;KITCHEN;NÃO
5863;HARUMAKI DE SALMÃO -PO;Sushi / Japonês;Rodízio | Sushi / Japonês;Salmão inteiro fresco;KITCHEN;NÃO
5551;HARUMAKI DOCE DE LEITE -LJDN;Sushi / Japonês;Rodízio | Sushi / Japonês;;KITCHEN;NÃO
1389;HOMUS - AC;Outros;Outros | Poke Kauai;;POKE;NÃO
5784;HOT DOG MEX;Outros;Rodízio;;KITCHEN;NÃO
5544;JOY CAMARAO;Sushi / Japonês;Rodízio | Sushi / Japonês;Camarão 31/40;SUSHI_BAR;NÃO
5543;JOY GELEIA DE PIMENTA;Sushi / Japonês;Rodízio | Sushi / Japonês;;SUSHI_BAR;NÃO
5672;JOY MARACUJA  (DUPLA);Sushi / Japonês;Rodízio | Sushi / Japonês;;SUSHI_BAR;NÃO
5542;JOY PHILADELPHIA;Sushi / Japonês;Rodízio | Sushi / Japonês;;SUSHI_BAR;NÃO
5534;JOY SALMAO (DUPLA);Sushi / Japonês;Rodízio | Sushi / Japonês;Salmão inteiro fresco;SUSHI_BAR;NÃO
5545;JOY TARTAR SALMA;Sushi / Japonês;Rodízio | Sushi / Japonês;Salmão inteiro fresco;SUSHI_BAR;NÃO
5673;JOY TRUFADO  (DUPLA);Sushi / Japonês;Rodízio;;SUSHI_BAR;NÃO
5891;JOYS DULPAS -JP RDZ;Rodízio;Rodízio;;SUSHI_BAR;NÃO
5783;KATSU SANDU;Outros;Outros | Rodízio;;KITCHEN;NÃO
1391;MANGA-AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
1422;MILHO CROCANTE-AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
1393;MILHO-AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
5401;MISSOSHIRO -PO;Sushi / Japonês;Rodízio | Sushi / Japonês;;SUSHI_BAR;SIM
1380;MIX DE COGUMELOS-AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
5347;MIX DE FOLHAS-BASE;Outros;Outros | Poke Kauai | Rodízio;;SUSHI_BAR;SIM
1402;MIX DE QUEIJO -AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
5325;MOLHO AGRIDOCE;Outros;Outros | Rodízio;;SUSHI_BAR;SIM
5327;MOLHO BARBECUE    -LJD;Outros;Rodízio;;SUSHI_BAR;SIM
5332;MOLHO CHIPOTLE    -LJD;Outros;Rodízio;;SUSHI_BAR;SIM
5634;MOLHO PESTO;Outros;Outros | Rodízio | Sushi / Japonês;;SUSHI_BAR;SIM
819;MOLHO SHOYO;Outros;Outros | Poke Kauai;;POKE;NÃO
133;MOLHO SWEET CHILLI;Outros;Outros | Poke Kauai;;POKE;NÃO
5398;MOLHO SWEET CHILLI -ljdn;Outros;Rodízio;;SUSHI_BAR;SIM
5510;MOLHO TÁRTARO 30GR-LJD;Outros;Rodízio;;SUSHI_BAR;SIM
5416;NACHOS COM TARTAR DE SALMÃO;Peixaria / Proteínas;Peixaria / Proteínas | Rodízio | Sushi / Japonês;Salmão inteiro fresco;SUSHI_BAR;NÃO
332;NACHOS DA CASA;Outros;Outros | Rodízio;;KITCHEN;NÃO
331;NACHOS PEQUENA;Outros;Rodízio;;KITCHEN;NÃO
5317;NACHOS- 1/2PORÇAO;Outros;Outros | Peixaria / Proteínas | Rodízio;;KITCHEN;NÃO
1403;NORI EM TIRAS -AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
1420;NOZES-AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
1425;PARMESÃO-AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
5425;PED RDZ JAPA FRIO;Rodízio;Rodízio;;SUSHI_BAR;SIM
5308;PED RDZ JAPA QUENTE;Rodízio;Rodízio;;SUSHI_BAR;SIM
5396;PED RDZ MEXICANO;Rodízio;Rodízio;;KITCHEN;NÃO
5724;PED RDZ POKES;Rodízio;Rodízio;;POKE;NÃO
5970;PED RDZ PORÇOES & MOLHOS;Rodízio;Rodízio;;SUSHI_BAR;SIM
5477;PED RDZ SOBREMESA;Rodízio;Rodízio;;SUSHI_BAR;SIM
1409;PEPINO -AC;Outros;Outros | Poke Kauai;;POKE;NÃO
